DataYear	BuildingType	PrimaryPropertyType	YearBuilt	NumberofBuildings	NumberofFloors	PropertyGFATotal	PropertyGFAParking	PropertyGFABuilding(s)	LargestPropertyUseType	LargestPropertyUseTypeGFA	SecondLargestPropertyUseType	SecondLargestPropertyUseTypeGFA	ThirdLargestPropertyUseType	ThirdLargestPropertyUseTypeGFA	ENERGYSTARScore	SiteEUI(kBtu/sf)	SiteEUIWN(kBtu/sf)	SourceEUI(kBtu/sf)	SourceEUIWN(kBtu/sf)	SiteEnergyUse(kBtu)	SiteEnergyUseWN(kBtu)	SteamUse(kBtu)	Electricity(kBtu)	NaturalGas(kBtu)	DefaultData	ComplianceStatus	Latitude	Longitude	GHGEmissionsIntensity	TotalGHGEmissions	GFA	Age	SiteEnergyUse(kBtu)_log2p	TotalGHGEmissions_log2
2015	NonResidential	Lodging	1996	4.0	4.0	162222	14200	148022	Lodging	113702.0	Other	32692.0	noInfo	0.0	75.0	68.2	68.2	152.8	152.8	7753080.0	7753080.0	0.0	4415922.0	3337341.0	No	Compliant	47.62557152	-122.347197	1.17	208.03	10138.875	19	22.886338306822665	7.700647784152205
2015	SPS-District K-12	Education	1990	4.0	4.0	289588	0	289588	Education	289588.0	noInfo	0.0	noInfo	0.0	92.0	30.2	36.0	75.9	85.2	8747819.0	10429328.0	0.0	6126773.0	2621300.0	Yes	Compliant	47.57604857	-122.2928463	0.54	181.93	18099.25	25	23.06049210432163	7.50723965075508
2015	SPS-District K-12	Education	2008	3.0	3.0	254523	0	254523	Education	254523.0	noInfo	0.0	noInfo	0.0	62.0	53.5	63.1	119.5	129.7	13609040.0	16067596.0	0.0	7719861.0	5889500.0	Yes	Compliant	47.60502046	-122.3018326	1.31	366.61	28280.333333333332	7	23.69806207100269	8.518102328499348
2015	SPS-District K-12	Education	2001	3.0	3.0	78804	0	78804	Education	78804.0	noInfo	0.0	noInfo	0.0	92.0	31.1	35.1	76.6	80.8	2447651.0	2763750.0	0.0	1659120.0	788600.0	Yes	Compliant	47.51466446	-122.2588187	0.59	53.45	8756.0	14	21.22296702377504	5.740118042833128
2015	SPS-District K-12	Education	2002	3.0	3.0	66994	0	66994	Education	66994.0	noInfo	0.0	noInfo	0.0	83.0	33.8	36.7	90.4	99.2	2266570.0	2455369.0	0.0	1757543.0	509100.0	Yes	Compliant	47.61229388	-122.2908219	0.47	39.29	7443.777777777777	13	21.112079923463828	5.296090262683962
2015	SPS-District K-12	Education	2000	3.0	3.0	98357	0	98357	Education	98357.0	noInfo	0.0	noInfo	0.0	90.0	33.2	38.7	76.7	82.5	3265995.0	3804876.0	0.0	1970276.0	1295800.0	Yes	Compliant	47.52933502	-122.28844452	0.75	82.55	10928.555555555555	15	21.639091593296747	6.3671963100258955
2015	NonResidential	Lodging	2001	4.0	4.0	139600	37500	102100	Lodging	135520.0	noInfo	0.0	noInfo	0.0	88.0	32.6	37.7	71.5	79.5	4418055.0	5103262.0	0.0	2419334.0	1998821.0	No	Compliant	47.65076266	-122.3638034	0.81	123.02	8725.0	14	22.074980274665226	6.942749070828886
2015	SPS-District K-12	Education	2011	2.0	2.0	236758	0	236758	Education	237357.0	Other	0.0	noInfo	0.0	96.0	34.0	41.1	78.7	89.1	8050977.0	9730278.0	0.0	4868567.0	3182614.0	No	Compliant	47.70783561	-122.294626	0.77	202.97	59189.5	4	22.940732615911422	7.665122695265795
2015	SPS-District K-12	Education	2002	3.0	3.0	62526	0	62526	Education	62526.0	noInfo	0.0	noInfo	0.0	97.0	29.5	35.7	66.2	75.3	1841968.0	2234095.0	0.0	1056512.0	785500.0	Yes	Compliant	47.68734351	-122.3598407	0.71	49.08	6947.333333333333	13	20.812817350665142	5.61706334388818
2015	NonResidential	Office	2007	3.0	3.0	64015	0	64015	Office	30000.0	Industrial	15000.0	Office	9015.0	19.0	62.0	66.7	169.6	174.6	3349666.0	3603241.0	0.0	2701378.0	648399.0	No	Compliant	47.5353246	-122.3186034	0.65	53.27	7112.777777777777	8	21.675586249572895	5.735251375786425
